2325	7 (A W E U N B S) 
Corylopsis_glandulifera	0010000
Corylopsis_glaucescens	0010000
Corylopsis_gotoana	0010000
Corylopsis_henryi	0010000
Corylopsis_himalayana	0010000
Corylopsis_microcarpa	0010000
Corylopsis_multiflora	0010000
Corylopsis_obovata	0010000
Corylopsis_omeiensis	0010000
Corylopsis_pauciflora	0010000
Corylopsis_platypetala	0010000
Corylopsis_rotundifolia	0010000
Corylopsis_sinensis	0010000
Corylopsis_spicata	0010000
Corylopsis_stelligera	0010000
Corylopsis_stenopetala	0010000
Corylopsis_trabeculosa	0010000
Corylopsis_veitchiana	0010000
Corylopsis_velutina	0010000
Corylopsis_willmottiae	0010000
Corylopsis_wilsonii	0010000
Corylopsis_yui	0010000
Corylopsis_yunnanensis	0010000
Cotyledon_adscendens	1000000
Cotyledon_barbeyi	1100000
Cotyledon_campanulata	1000000
Cotyledon_cuneata	1000000
Cotyledon_eliseae	1000000
Cotyledon_papillaris	1000000
Cotyledon_tomentosa	1000000
Cotyledon_velutina	1000000
Cotyledon_woodii	1000000
Crassula_acinaciformis	1000000
Crassula_alata	1110010
Crassula_alba	1100000
Crassula_alcicornis	1000000
Crassula_alpestris	1000000
Crassula_alticola	1000000
Crassula_ammophila	1000000
Crassula_ankaratrensis	1000000
Crassula_aphylla	1000000
Crassula_aquatica	0110110
Crassula_arborescens	1000000
Crassula_atropurpurea	1000000
Crassula_aurusbergensis	1000000
Crassula_ausensis	1000000
Crassula_badspoortensis	1000000
Crassula_barbata	1000000
Crassula_barklyi	1000000
Crassula_bergioides	1000000
Crassula_biplanata	1000000
Crassula_brachystachya	1000000
Crassula_brevifolia	1000000
Crassula_campestris	1000000
Crassula_capensis	1000000
Crassula_capitella	1000000
Crassula_chiloensis	0000001
Crassula_ciliata	1000000
Crassula_clavata	1000000
Crassula_closiana	0001101
Crassula_coccinea	1000000
Crassula_colligata	0001000
Crassula_colorata	0001000
Crassula_columella	1000000
Crassula_columnaris	1000000
Crassula_compacta	1000000
Crassula_congesta	1000000
Crassula_connata	0000101
Crassula_corallina	1000000
Crassula_cordata	1000000
Crassula_cordifolia	1000000
Crassula_cotyledonis	1000000
Crassula_cremnophila	1000000
Crassula_crenulata	1000000
Crassula_cultrata	1000000
Crassula_cymbiformis	1000000
Crassula_cymosa	1000000
Crassula_deceptor	1000000
Crassula_decumbens	0001000
Crassula_dejecta	1000000
Crassula_deltoidea	1000000
Crassula_dentata	1000000
Crassula_dependens	1000000
Crassula_depressa	1000000
Crassula_dichotoma	1000000
Crassula_dodii	1000000
Crassula_drummondii	0000101
Crassula_elatinoides	1000000
Crassula_elegans	1000000
Crassula_elsieae	1000000
Crassula_ericoides	1000000
Crassula_exilis	1000000
Crassula_expansa	1000000
Crassula_exserta	0001000
Crassula_extrorsa	0001000
Crassula_fallax	1000000
Crassula_fascicularis	1000000
Crassula_filiformis	1000000
Crassula_flanaganii	1000000
Crassula_flava	1000000
Crassula_foveata	1000000
Crassula_fragarioides	1000000
Crassula_fusca	1000000
Crassula_garibina	1000000
Crassula_gemmifera	1000000
Crassula_globularioides	1000000
Crassula_glomerata	1000000
Crassula_grammanthoides	1000000
Crassula_granvikii	1000000
Crassula_grisea	1000000
Crassula_helmsii	0001000
Crassula_hemisphaerica	1000000
Crassula_hirsuta	1000000
Crassula_hirtipes	1000000
Crassula_humbertii	1000000
Crassula_hunua	0011000
Crassula_inandensis	1000000
Crassula_inanis	1000000
Crassula_intermedia	1000000
Crassula_kirkii	0011000
Crassula_lactea	1000000
Crassula_lanceolata	1000000
Crassula_lanuginosa	1000000
Crassula_lasiantha	1000000
Crassula_latibracteata	1000000
Crassula_leachii	1000000
Crassula_longipes	0000101
Crassula_macowaniana	1000000
Crassula_manaia	0001000
Crassula_mataikona	0001000
Crassula_mesembrianthemopsis	1000000
Crassula_mesembryanthemoides	1000000
Crassula_micans	1000000
Crassula_minuta	1000000
Crassula_mollis	1000000
Crassula_montana	1000000
Crassula_morrumbalensis	1000000
Crassula_moschata	0011001
Crassula_multicaulis	0001000
Crassula_multicava	1000000
Crassula_multiceps	1000000
Crassula_multiflora	1000000
Crassula_muricata	1000000
Crassula_muscosa	1000000
Crassula_namaquensis	1000000
Crassula_natalensis	1000000
Crassula_natans	1000000
Crassula_nemorosa	1000000
Crassula_nudicaulis	1000000
Crassula_oblanceolata	1000000
Crassula_obovata	1000000
Crassula_obtusa	1000000
Crassula_orbicularis	1000000
Crassula_ovata	1000000
Crassula_pageae	1000000
Crassula_pallens	1000000
Crassula_papillosa	1000000
Crassula_peculiaris	1000000
Crassula_peduncularis	0001001
Crassula_pellucida	1000000
Crassula_peploides	1000000
Crassula_perfoliata	1000000
Crassula_perforata	1000000
Crassula_phascoides	0000001
Crassula_planifolia	1000000
Crassula_plegmatoides	1000000
Crassula_pruinosa	1000000
Crassula_pseudohemisphaerica	1000000
Crassula_pubescens	1000000
Crassula_pustulata	1000000
Crassula_pyramidalis	1000000
Crassula_rhodesica	1000000
Crassula_rogersii	1000000
Crassula_roggeveldii	1000000
Crassula_ruamahanga	0011000
Crassula_rubricaulis	1000000
Crassula_rudolfii	1000000
Crassula_rupestris	1000000
Crassula_saginoides	0000100
Crassula_sarcocaulis	1000000
Crassula_sarmentosa	1000000
Crassula_saxifraga	1000000
Crassula_scabra	1000000
Crassula_schimperi	1010000
Crassula_sebaeoides	1000000
Crassula_sediflora	1000000
Crassula_sericea	1000000
Crassula_setulosa	1000000
Crassula_sieberiana	0001000
Crassula_simulans	1000000
Crassula_sinclairii	0011000
Crassula_sladenii	1000000
Crassula_socialis	1000000
Crassula_solieri	0000101
Crassula_southii	1000000
Crassula_spathulata	1000000
Crassula_streyi	1000000
Crassula_strigosa	1000000
Crassula_subacaulis	1000000
Crassula_subaphylla	1000000
Crassula_subulata	1000000
Crassula_susannae	1000000
Crassula_swaziensis	1000000
Crassula_tabularis	1000000
Crassula_tecta	1000000
Crassula_tenuicaulis	1000000
Crassula_tenuipedicellata	1000000
Crassula_tetragona	1000000
Crassula_thunbergiana	1000000
Crassula_tillaea	1100010
Crassula_tomentosa	1000000
Crassula_tuberella	1000000
Crassula_umbella	1000000
Crassula_umbellata	1000000
Crassula_umbraticola	1000000
Crassula_vaginata	1000000
Crassula_vaillantii	1100010
Crassula_venezuelensis	0000001
Crassula_vestita	1000000
Crassula_viridis	0000101
Crassula_volkensii	1000000
Crassula_whiteheadii	1000000
Crassula_zombensis	1000000
Cremnophila_linguifolia	0000100
Cremnophila_nutans	0000100
Cynomorium_coccineum	1100010
Cynomorium_songaricum	0110000
Daphniphyllum_angustifolium	0010000
Daphniphyllum_borneense	0010000
